wkt_geom,freewayNO,dir,Old_id,ID,catch,s_catch,start,end,lat,lon,cwb_gauge
"LineString (121.73176390000000424 25.11878610000000123, 121.74043595562432074 25.13331355324572769)",國1,S,01F-000.5S,01F0005S,1.1,1.3,基隆端(基隆港),基隆(長庚醫院),25.1187861,121.7317639,466940
"LineString (121.72590560000000437 25.10956669999999846, 121.74043595562432074 25.13331355324572769)",國1,S,01F-001.7S,01F0017S,1.2,1.4,基隆(長庚醫院),八堵,25.1095667,121.7259056,466940
"LineString (121.71736939999999549 25.10311109999999957, 121.69493127899239937 25.07901530688962666)",國1,S,01F-002.9S,01F0029S,2.8,3.3,八堵,大華系統(連接台62),25.1031111,121.7173694,01B030
"LineString (121.69348329999999692 25.08839439999999854, 121.69493127899239937 25.07901530688962666)",國1,S,01F-006.1S,01F0061S,1.8,2.1,大華系統(連接台62),五堵,25.0883944,121.6934833,01B030
"LineString (121.65947780000000478 25.07626390000000072, 121.65882964144718414 25.06691713572348945)",國1,S,01F-009.9S,01F0099S,3.7,4.4,五堵,汐止&汐止系統(連接國3),25.0762639,121.6594778,C0AH00
"LineString (121.61351940000000127 25.06564440000000005, 121.61502878527088001 25.06921959646921749)",國1,S,01F-014.7S,01F0147S,3.7,4.4,汐止&汐止系統(連接國3),東湖,25.0656444,121.6135194,A1AA50
"LineString (121.60590279999999552 25.06475280000000083, 121.61502878527088001 25.06921959646921749)",國1,S,01F-015.5S,01F0155S,2.1,2.5,東湖,內湖(南京東、成功路),25.0647528,121.6059028,A1AA50
"LineString (121.58023059999999305 25.06898610000000005, 121.57542854975623925 25.07942193898094629)",國1,S,01F-018.2S,01F0182S,5.9,7,內湖(南京東、成功路),圓山(建國北路),25.0689861,121.5802306,C0A9F0
"LineString (121.51660280000000114 25.07763059999999911, 121.52842770333064948 25.0831245985437441)",國1,S,01F-024.8S,01F0248S,2.1,2.5,圓山(建國北路),台北(重慶北、士林),25.0776306,121.5166028,A1AG50
"LineString (121.50138610000000483 25.07746390000000147, 121.50302758461972985 25.09022611070766828)",國1,S,01F-026.4S,01F0264S,2,2.4,台北(重慶北、士林),三重,25.0774639,121.5013861,C0A9E0
"LineString (121.47296110000000624 25.07479719999999901, 121.47232663117252116 25.0867277615379578)",國1,S,01F-029.3S,01F0293S,5.9,7,三重,五股,25.0747972,121.4729611,C0AD30
"LineString (121.42876400000000103 25.06823899999999838, 121.44672367859739381 25.05152866182259075)",國1,S,01F-033.9S,01F0339S,1.4,1.6,五股,高公局,25.068239,121.428764,C0ACA0
"LineString (121.39730600000000038 25.0586669999999998, 121.38082350422344291 25.07223261778139189)",國1,S,01F-037.6S,01F0376S,6.5,7.8,高公局,林口(文化一路),25.058667,121.397306,C0AH50
"LineString (121.36344400000000121 25.06508099999999928, 121.37682374337161662 25.07723291382906083)",國1,S,01F-041.3S,01F0413S,1.4,1.6,林口(文化一路),林口(文化北路),25.065081,121.363444,01A160
"LineString (121.3177610000000044 25.04707499999999953, 121.32321682456255019 24.99253461633410467)",國1,S,01F-046.7S,01F0467S,6.8,8.1,林口(文化北路),桃園,25.047075,121.317761,C0C480
"LineString (121.28307200000000421 25.02720599999999962, 121.32321682456255019 24.99253461633410467)",國1,S,01F-050.9S,01F0509S,3.2,3.8,桃園,機場系統(連接國2),25.027206,121.283072,C0C480
"LineString (121.26619399999999871 25.01294400000000095, 121.22601816457680002 25.04764081759137895)",國1,S,01F-053.2S,01F0532S,2.9,3.4,機場系統(連接國2),中壢服務區,25.012944,121.266194,C0C540
"LineString (121.24772219999999834 24.99858329999999995, 121.22601816457680002 25.04764081759137895)",國1,S,01F-055.7S,01F0557S,2.2,2.6,中壢服務區,內壢,24.9985833,121.2477222,C0C540
"LineString (121.2331970000000041 24.98441400000000101, 121.18531186779590314 24.96774185351622677)",國1,S,01F-057.8S,01F0578S,5.1,6.1,內壢,中壢,24.984414,121.233197,C0C520
"LineString (121.19559399999999982 24.94928099999999915, 121.18531186779590314 24.96774185351622677)",國1,S,01F-063.3S,01F0633S,2.6,3.1,中壢,平鎮系統(連接台66),24.949281,121.195594,C0C520
"LineString (121.17691899999999805 24.92954399999999993, 121.14300717213949099 24.91234334274297524)",國1,S,01F-066.4S,01F0664S,2.3,2.7,平鎮系統(連接台66),幼獅,24.929544,121.176919,C0C660
"LineString (121.16758600000000001 24.91796700000000087, 121.14300717213949099 24.91234334274297524)",國1,S,01F-068.1S,01F0681S,1.9,2.2,幼獅,楊梅,24.917967,121.167586,C0C660
